evolution$generation,evolution$evaluated,soilQualityBasis,fallowBoost,peanutSeedToFood,expandingHerdSize,objective$popFallowFitness,objective$milYieldLast5YearsAverage,lastHerdSize,effectiveFallowRatioDynamic,kitchenSizeAverage,populationRSquare,populationDynamic,popFallowFitness,herdDynamic,milYieldLast5YearsAverage,kitchenSizeDynamic,populationSlope
2700,89233,0.5251678620733167,0.21790149794215405,1.1965626757728187,1.3336431353733804,0.012548782937318037,17.421744633226012,160,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.970873786407767,0.9532710280373832,0.9629629629629629,0.8252427184466019,0.8411214953271028,0.7685185185185185,0.6310679611650486,0.5700934579439252,0.5925925925925926,0.5533980582524272,0.5046728971962616,0.5,0.42718446601941745,0.42990654205607476,0.4166666666666667,0.4077669902912621,0.40186915887850466]",16.482494593014703,0.9459068430078879,"[359,366,373,380,387,394,401,409,417,425,433,441,447,454,463,470,475,480,480,483,485,487,487,489,488,488]",0.012548782937318037,"[188,196,202,190,199,206,194,207,213,203,208,217,194,198,197,178,183,182,168,171,166,158,163,163,155,160]",682.578255366774,"[16.318181818181817,16.636363636363637,16.954545454545453,17.272727272727273,17.59090909090909,17.90909090909091,17.434782608695652,17.782608695652176,18.130434782608695,17.708333333333332,18.041666666666668,18.375,17.192307692307693,16.214285714285715,15.433333333333334,15.666666666666666,15.833333333333334,16.551724137931036,15.0,15.09375,15.15625,15.21875,15.21875,15.28125,15.741935483870968,14.787878787878787]",5.670769230769235
2700,89233,0.5259076828883499,0.22023938936308426,1.4857551002025162,1.3803043850320296,45.53236271857069,5.206399877124568E-4,170,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9902912621359223,0.9532710280373832,0.9074074074074074,0.8058252427184466,0.7383177570093458,0.7407407407407407,0.6213592233009708,0.5794392523364486,0.6111111111111112,0.5436893203883495,0.45794392523364486,0.42592592592592593,0.4077669902912621,0.4205607476635514]",16.344876631734614,0.9897311899500953,"[359,366,373,380,387,394,401,409,417,425,433,441,449,457,466,475,482,490,498,503,509,513,518,523,523,522]",45.53236271857069,"[193,196,201,198,204,211,199,207,216,208,213,226,212,216,217,195,201,203,181,188,186,174,181,173,165,170]",699.9994793600123,"[16.318181818181817,16.636363636363637,16.954545454545453,17.272727272727273,17.59090909090909,17.90909090909091,17.434782608695652,17.782608695652176,18.130434782608695,17.708333333333332,18.041666666666668,18.375,17.26923076923077,16.321428571428573,15.533333333333333,15.833333333333334,15.548387096774194,15.806451612903226,15.5625,15.71875,14.970588235294118,15.088235294117647,14.38888888888889,14.527777777777779,14.135135135135135,14.108108108108109]",7.172307692307692
2700,89233,0.5203222221257595,0.3796533940058006,1.4676446881879874,1.0839261485767369,32.20242429836745,0.0015085835211721133,135,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9029126213592233,0.897196261682243,0.8425925925925926,0.7864077669902912,0.7757009345794392,0.7314814814814815,0.6893203883495146,0.6448598130841121,0.6203703703703703,0.5922330097087378,0.616822429906542,0.6481481481481481,0.6213592233009708,0.6448598130841121]",16.485063112919256,0.925305403101853,"[359,366,373,380,387,394,401,409,417,425,433,441,449,457,463,466,472,478,483,485,489,487,485,480,482,481]",32.20242429836745,"[153,156,164,157,162,169,158,165,175,165,171,181,165,162,165,153,154,150,143,143,143,132,133,136,132,135]",699.9984914164788,"[16.318181818181817,16.636363636363637,16.954545454545453,17.272727272727273,17.59090909090909,17.90909090909091,17.434782608695652,17.782608695652176,18.130434782608695,17.708333333333332,18.041666666666668,18.375,17.26923076923077,16.321428571428573,16.535714285714285,16.06896551724138,16.275862068965516,15.419354838709678,15.580645161290322,15.15625,15.28125,14.757575757575758,14.696969696969697,15.0,15.0625,15.03125]",5.507008547008549
2700,89233,0.5257992210754323,0.21641491339387559,1.2002643128883606,1.3191520789994644,0.026772194032064184,13.286001684522489,160,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.970873786407767,0.9345794392523364,0.9629629629629629,0.8252427184466019,0.8037383177570093,0.7592592592592593,0.6407766990291263,0.5887850467289719,0.6111111111111112,0.5339805825242718,0.4766355140186916,0.5,0.4077669902912621,0.4392523364485981,0.4074074074074074,0.4174757281553398,0.4392523364485981]",16.42346202398224,0.9460509695257334,"[359,366,373,380,387,394,401,409,417,425,433,441,449,455,463,468,473,480,481,485,483,484,487,489,489,488]",0.026772194032064184,"[185,193,202,190,197,205,193,205,213,202,204,211,193,191,195,176,181,181,166,169,166,158,161,156,155,160]",686.7139983154775,"[16.318181818181817,16.636363636363637,16.954545454545453,17.272727272727273,17.59090909090909,17.90909090909091,17.434782608695652,17.782608695652176,18.130434782608695,17.708333333333332,18.041666666666668,18.375,17.26923076923077,16.25,15.433333333333334,15.6,15.766666666666667,16.0,15.03125,15.15625,15.580645161290322,15.125,15.21875,14.818181818181818,14.818181818181818,14.787878787878787]",5.655042735042732
2700,89233,0.5252756635170605,0.2195808037123273,1.207460831642873,1.334691795320889,0.014066528003648215,16.91121946479393,160,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.970873786407767,0.9719626168224299,1.0,0.8640776699029126,0.794392523364486,0.7870370370370371,0.6310679611650486,0.616822429906542,0.6111111111111112,0.5242718446601942,0.4766355140186916,0.4444444444444444,0.39805825242718446,0.40186915887850466,0.42592592592592593,0.4174757281553398,0.411214953271028]",16.121978341323505,0.9445016868879675,"[359,366,373,380,387,394,401,409,417,425,433,441,448,454,461,468,473,479,483,486,488,489,486,486,487,488]",0.014066528003648215,"[188,196,202,190,200,206,194,206,213,203,210,221,197,197,200,179,182,179,169,167,164,156,162,161,157,160]",683.0887805352061,"[16.318181818181817,16.636363636363637,16.954545454545453,17.272727272727273,17.59090909090909,17.90909090909091,17.434782608695652,17.782608695652176,18.130434782608695,17.708333333333332,18.041666666666668,18.375,17.23076923076923,16.214285714285715,15.89655172413793,16.137931034482758,15.766666666666667,14.088235294117647,14.205882352941176,14.294117647058824,14.352941176470589,14.382352941176471,14.294117647058824,13.885714285714286,13.914285714285715,14.352941176470589]",5.672820512820513
2700,89233,0.4711266553342334,0.5971343113976321,1.6,1.1855773280492279,16.53583124524509,0.005756290220460869,154,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.941747572815534,0.9065420560747663,0.8611111111111112,0.7864077669902912,0.7757009345794392,0.7407407407407407,0.7669902912621359,0.719626168224299,0.7314814814814815,0.7281553398058253,0.6728971962616822,0.7037037037037037,0.7184466019417476,0.6915887850467289]",16.481256706500172,0.9151514268714691,"[359,366,373,380,387,394,401,409,417,425,433,441,448,456,462,465,470,475,476,476,479,479,480,476,475,478]",16.53583124524509,"[165,171,175,167,173,181,171,178,187,178,183,189,176,175,176,157,163,167,153,160,161,151,154,155,148,154]",700.0057562902205,"[16.318181818181817,16.636363636363637,16.954545454545453,17.272727272727273,17.59090909090909,17.90909090909091,17.434782608695652,17.782608695652176,18.130434782608695,17.708333333333332,18.041666666666668,18.375,17.23076923076923,16.285714285714285,15.4,15.5,16.20689655172414,16.379310344827587,15.866666666666667,15.866666666666667,14.96875,14.515151515151516,15.0,14.875,14.84375,15.419354838709678]",5.184273504273502
2700,89233,0.5368774795341172,0.22109317447007681,1.086966623355065,1.3316359831438285,9.401234174540132,0.009780984109966084,164,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9611650485436893,0.9158878504672897,0.9166666666666666,0.7572815533980582,0.719626168224299,0.7407407407407407,0.6116504854368932,0.5607476635514018,0.6111111111111112,0.5242718446601942,0.4953271028037383,0.5370370370370371,0.46601941747572817,0.45794392523364486,0.4444444444444444,0.42718446601941745,0.411214953271028]",16.559983333043817,0.934695342205928,"[359,366,373,380,387,394,401,409,417,425,433,441,448,454,462,466,469,472,473,478,477,477,479,482,482,483]",9.401234174540132,"[191,197,205,193,202,212,200,210,220,203,209,216,190,195,196,176,185,185,168,175,173,165,170,167,160,164]",699.99021901589,"[16.318181818181817,16.636363636363637,16.954545454545453,17.272727272727273,17.59090909090909,17.90909090909091,17.434782608695652,17.782608695652176,18.130434782608695,17.708333333333332,18.041666666666668,18.375,17.23076923076923,16.214285714285715,15.4,15.533333333333333,15.633333333333333,16.275862068965516,15.766666666666667,15.933333333333334,15.387096774193548,15.387096774193548,15.451612903225806,15.548387096774194,15.0625,15.580645161290322]",5.283760683760686
2700,89233,0.529531166660146,0.225064635637852,1.2061358639498552,1.3322034250252115,0.08523838406399084,3.4905887798975073,160,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9805825242718447,0.9626168224299065,0.9907407407407407,0.8543689320388349,0.7757009345794392,0.7592592592592593,0.6310679611650486,0.6074766355140186,0.6111111111111112,0.5631067961165048,0.5420560747663551,0.5555555555555556,0.4854368932038835,0.4392523364485981,0.42592592592592593,0.4174757281553398,0.411214953271028]",16.255384840386792,0.94798641652996,"[359,366,373,380,387,394,401,409,417,425,433,441,449,455,463,470,472,476,477,480,482,482,487,489,489,488]",0.08523838406399084,"[188,196,202,191,200,208,196,208,215,202,210,220,196,199,196,178,181,180,169,174,171,162,162,161,153,160]",696.5094112201025,"[16.318181818181817,16.636363636363637,16.954545454545453,17.272727272727273,17.59090909090909,17.90909090909091,17.434782608695652,17.782608695652176,18.130434782608695,17.708333333333332,18.041666666666668,18.375,17.26923076923077,16.25,15.433333333333334,15.666666666666666,15.733333333333333,15.866666666666667,15.387096774193548,15.0,14.606060606060606,14.606060606060606,14.757575757575758,14.382352941176471,13.971428571428572,13.555555555555555]",5.5897435897435885
2700,89233,0.5312696251467559,0.2436522594214085,1.2230584989744784,1.314401864796489,0.11938055127080655,0.6973086503878676,160,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9906542056074766,1.0,0.883495145631068,0.8130841121495327,0.7962962962962963,0.6699029126213593,0.6261682242990654,0.6759259259259259,0.6116504854368932,0.5887850467289719,0.6018518518518519,0.5533980582524272,0.5046728971962616,0.46296296296296297,0.4368932038834951,0.42990654205607476]",16.44583062674011,0.9496135995883221,"[359,366,373,380,387,394,401,409,417,425,433,441,448,455,463,469,471,474,476,478,481,482,489,488,488,488]",0.11938055127080655,"[187,194,200,190,200,206,194,205,213,203,212,218,197,196,199,177,184,184,170,176,175,165,169,162,155,160]",700.6973086503879,"[16.318181818181817,16.636363636363637,16.954545454545453,17.272727272727273,17.59090909090909,17.90909090909091,17.434782608695652,17.782608695652176,18.130434782608695,17.708333333333332,18.041666666666668,18.375,17.23076923076923,16.25,15.433333333333334,15.633333333333333,15.7,15.290322580645162,15.35483870967742,15.419354838709678,15.03125,15.0625,15.28125,15.25,15.25,15.25]",5.56
2700,89233,0.524722416668427,0.2192156394148485,1.2071629037294769,1.340071022297735,0.04801906151194216,4.2095888806846915,160,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.970873786407767,0.9626168224299065,1.0,0.8640776699029126,0.7850467289719626,0.75,0.6116504854368932,0.5794392523364486,0.5740740740740741,0.5242718446601942,0.48598130841121495,0.5555555555555556,0.5048543689320388,0.45794392523364486,0.4537037037037037,0.4077669902912621,0.40186915887850466]",16.481619045705713,0.9424265888024034,"[359,366,373,380,387,394,401,409,417,425,433,441,448,455,464,472,475,483,484,483,482,485,489,489,490,488]",0.04801906151194216,"[188,197,203,190,200,207,194,209,214,203,211,222,197,200,196,177,181,179,168,175,175,164,173,165,159,160]",695.7904111193153,"[16.318181818181817,16.636363636363637,16.954545454545453,17.272727272727273,17.59090909090909,17.90909090909091,17.434782608695652,17.782608695652176,18.130434782608695,17.708333333333332,18.041666666666668,18.375,17.23076923076923,16.25,15.466666666666667,15.733333333333333,15.32258064516129,15.580645161290322,16.133333333333333,16.1,16.066666666666666,15.15625,15.28125,15.28125,14.411764705882353,14.352941176470589]",5.701196581196585
