Base,RainFall (645 mm),Faidherbia (6 / ha),LSU +25%,LSU Full capacity,Crop residue,Rotation Millet-Groundhut,Grazing anywhere anytime,No solidarity,Use own fallow permitted
5296.857000606769,5296.8570006067675,5296.85700060677,5296.8570006067675,5296.8570006067675,5296.857000606769,5296.857000606769,5296.857000606772,5296.85700060677,5296.857000606772
5328.463026829651,5328.46302682965,5328.463026829649,5328.463026829651,5328.463026829655,5328.463026829649,5328.463026829651,5328.463026829654,5328.4630268296505,5328.463026829657
5247.228617656817,5247.22861765681,5247.228617656813,5247.228617656812,5247.228617656812,5247.2286176568105,5247.228617656809,5247.228617656812,5247.228617656818,5247.228617656815
5119.0097548901595,5119.009754890154,5119.009754890157,5119.0097548901595,5119.009754890158,5119.0097548901595,5119.009754890152,5119.009754890159,5119.009754890153,5119.009754890156
5059.8104334924565,5059.8104334924565,5059.810433492452,5059.8104334924565,5059.81043349245,5059.810433492456,5059.810433492452,5059.810433492452,5059.810433492453,5059.810433492458
5196.605257248218,5196.605257248218,5196.605257248225,5196.605257248219,5196.605257248227,5196.605257248223,5196.605257248224,5196.605257248217,5196.605257248218,5196.605257248223
5065.302523733053,5065.3025237330585,5065.3025237330585,5065.302523733062,5065.302523733062,5065.302523733058,5065.302523733064,5065.302523733055,5065.302523733052,5065.302523733058
4941.563591769749,4941.56359176975,4941.56359176975,4941.5635917697555,4941.563591769749,4941.56359176975,4941.563591769748,4941.563591769745,4941.563591769753,4941.563591769748
4938.381908870946,4938.381908870938,4938.381908870934,4938.381908870941,4938.381908870931,4938.381908870932,4938.381908870935,4938.381908870936,4938.381908870938,4938.38190887093
4807.20333076591,4807.203330765912,4807.203330765915,4807.2033307659085,4807.203330765914,4807.203330765905,4807.203330765909,4807.203330765909,4807.203330765907,4807.203330765908
4767.515870565156,4767.515870565149,4767.515870565149,4767.515870565153,4767.515870565147,4767.5158705651465,4767.5158705651465,4767.515870565152,4767.515870565149,4767.515870565144
