Base,RainFall (645 mm),Faidherbia (6 / ha),LSU +25%,LSU Full capacity,Crop residue,Rotation Millet-Groundhut,Grazing anywhere anytime,No solidarity,Use own fallow permitted
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9339622641509434,0.9339622641509434,0.9339622641509434,0.9339622641509434,0.9339622641509434,0.9339622641509434,0.9339622641509434,0.9339622641509434,0.9339622641509434,0.9339622641509434
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8440366972477065,0.8440366972477065,0.8440366972477065,0.8440366972477065,0.8440366972477065,0.8440366972477065,0.8440366972477065,0.8440366972477065,0.8440366972477065,0.8440366972477065
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9541284403669725,0.9541284403669725,0.9541284403669725,0.9541284403669725,0.9541284403669725,0.9541284403669725,0.9541284403669725,0.9541284403669725,0.9541284403669725,0.9541284403669725
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6037735849056604
0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789
0.6972477064220184,0.6972477064220184,0.6972477064220184,0.6972477064220184,0.6972477064220184,0.6972477064220184,0.6972477064220184,0.6972477064220184,0.6972477064220184,0.6972477064220184
0.25471698113207547,0.25471698113207547,0.25471698113207547,0.25471698113207547,0.25471698113207547,0.25471698113207547,0.25471698113207547,0.25471698113207547,0.25471698113207547,0.25471698113207547
0.8990825688073395,0.8990825688073395,0.8990825688073395,0.8990825688073395,0.8990825688073395,0.8990825688073395,0.8990825688073395,0.8990825688073395,0.8990825688073395,0.8990825688073395
0.5779816513761468,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.5779816513761468
0.4716981132075472,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.4716981132075472
0.3669724770642202,0.3669724770642202,0.3669724770642202,0.3669724770642202,0.3669724770642202,0.3669724770642202,0.3669724770642202,0.3669724770642202,0.3669724770642202,0.3669724770642202
0.3761467889908257,0.5871559633027523,0.44036697247706424,0.3761467889908257,0.3761467889908257,0.3761467889908257,NaN,0.3761467889908257,1.0,0.3119266055045872
0.39622641509433965,0.5849056603773585,0.5377358490566038,0.4339622641509434,0.5,0.5754716981132075,NaN,0.44339622641509435,1.0,0.330188679245283
0.3119266055045872,0.44954128440366975,0.42201834862385323,0.3302752293577982,0.3944954128440367,0.3761467889908257,NaN,0.3394495412844037,1.0,0.25688073394495414
0.3394495412844037,0.46788990825688076,0.44036697247706424,0.3577981651376147,0.44954128440366975,0.47706422018348627,NaN,0.3944954128440367,1.0,0.23853211009174313
0.2358490566037736,0.4528301886792453,0.42452830188679247,0.25471698113207547,0.42452830188679247,0.42452830188679247,NaN,0.27358490566037735,1.0,0.18867924528301888
0.1743119266055046,0.30275229357798167,0.28440366972477066,0.21100917431192662,0.23853211009174313,0.3302752293577982,NaN,0.22018348623853212,1.0,0.11009174311926606
0.11926605504587157,0.3486238532110092,0.3394495412844037,0.1559633027522936,0.23853211009174313,0.3486238532110092,NaN,0.1559633027522936,1.0,0.07339449541284404
0.04716981132075472,0.22641509433962265,0.2169811320754717,0.11320754716981132,0.16037735849056603,0.2641509433962264,NaN,0.11320754716981132,1.0,0.0
