Base,RainFall (645 mm),Faidherbia (6 / ha),LSU +25%,LSU Full capacity,Crop residue,Rotation Millet-Groundhut,Grazing anywhere anytime,No solidarity,Use own fallow permitted
87,87,87,87,87,87,87,87,87,87
87,87,87,87,87,87,87,87,87,87
86,86,86,86,86,86,86,86,86,86
87,87,87,87,87,87,87,87,87,87
87,87,87,87,87,87,87,87,87,87
86,86,86,86,86,86,86,86,86,86
88,88,88,88,88,88,88,88,88,88
88,88,88,88,88,88,88,88,88,88
87,87,87,87,87,87,87,87,87,87
88,88,88,88,88,88,88,88,88,88
88,88,88,88,88,88,88,88,88,88
87,87,87,87,87,87,87,87,87,87
88,88,88,88,88,88,88,88,88,88
86,86,86,86,86,86,86,86,86,86
87,87,87,87,87,87,87,87,87,87
89,89,89,89,89,89,89,89,89,89
87,87,87,87,87,87,87,87,87,87
88,88,88,88,88,88,88,88,88,88
89,89,89,89,89,89,89,89,89,89
86,86,86,86,86,86,86,86,86,86
88,88,88,88,88,88,88,88,88,88
89,89,89,89,89,89,89,89,89,89
87,87,87,87,87,87,87,87,87,87
88,88,88,88,88,88,88,88,88,88
89,89,89,106,137,23,89,89,86,89
88,88,88,105,147,35,77,88,85,88
89,89,89,106,150,22,90,89,85,89
90,90,90,106,146,27,78,89,84,90
88,88,88,106,147,26,90,88,85,88
89,89,89,105,144,21,77,89,84,89
89,90,88,106,143,19,90,86,85,87
88,89,87,103,140,14,75,86,85,86
89,89,88,104,139,11,88,87,83,88
88,88,87,105,137,11,76,87,84,87
87,89,86,102,133,4,86,85,85,88
88,88,89,104,133,0,79,88,84,87
87,86,87,104,127,0,86,88,85,88
87,88,88,101,127,0,76,87,86,88
87,87,87,103,125,0,83,88,84,86
87,83,83,103,123,0,71,86,85,87
84,84,85,98,122,0,83,86,84,84
86,84,85,98,121,0,70,83,82,85
81,83,87,102,119,0,84,82,83,86
83,84,84,97,116,0,67,82,83,85
84,87,85,96,119,0,84,82,82,83
82,83,83,101,115,0,63,84,83,85
86,85,83,96,113,0,83,84,83,83
85,88,85,99,118,0,65,83,82,83
85,85,84,101,117,0,85,85,83,83
