Base,RainFall (645 mm),Faidherbia (6 / ha),LSU +25%,LSU Full capacity,Crop residue,Rotation Millet-Groundhut,Grazing anywhere anytime,No solidarity,Use own fallow permitted
873.2903413525427,873.2903413525427,873.2903413525427,873.2903413525427,873.2903413525427,873.2903413525427,873.2903413525427,873.2903413525427,873.2903413525427,873.2903413525427
645.7357367068437,645.7357367068437,645.7357367068437,645.7357367068437,645.7357367068437,645.7357367068437,645.7357367068437,645.7357367068437,645.7357367068437,645.7357367068437
647.5606579539846,647.5606579539846,647.5606579539846,647.5606579539846,647.5606579539846,647.5606579539846,647.5606579539846,647.5606579539846,647.5606579539846,647.5606579539846
610.2602311565618,610.2602311565618,610.2602311565618,610.2602311565618,610.2602311565618,610.2602311565618,610.2602311565618,610.2602311565618,610.2602311565618,610.2602311565618
921.7297738941445,921.7297738941445,921.7297738941445,921.7297738941445,921.7297738941445,921.7297738941445,921.7297738941445,921.7297738941445,921.7297738941445,921.7297738941445
836.837814792929,836.837814792929,836.837814792929,836.837814792929,836.837814792929,836.837814792929,836.837814792929,836.837814792929,836.837814792929,836.837814792929
737.3099015969105,737.3099015969105,737.3099015969105,737.3099015969105,737.3099015969105,737.3099015969105,737.3099015969105,737.3099015969105,737.3099015969105,737.3099015969105
619.2727617691731,619.2727617691731,619.2727617691731,619.2727617691731,619.2727617691731,619.2727617691731,619.2727617691731,619.2727617691731,619.2727617691731,619.2727617691731
702.6526275383666,702.6526275383666,702.6526275383666,702.6526275383666,702.6526275383666,702.6526275383666,702.6526275383666,702.6526275383666,702.6526275383666,702.6526275383666
588.6156381251515,588.6156381251515,588.6156381251515,588.6156381251515,588.6156381251515,588.6156381251515,588.6156381251515,588.6156381251515,588.6156381251515,588.6156381251515
817.4046335092139,817.4046335092139,817.4046335092139,817.4046335092139,817.4046335092139,817.4046335092139,817.4046335092139,817.4046335092139,817.4046335092139,817.4046335092139
741.1956640110106,741.1956640110106,741.1956640110106,741.1956640110106,741.1956640110106,741.1956640110106,741.1956640110106,741.1956640110106,741.1956640110106,741.1956640110106
708.3437941419825,708.3437941419825,708.3437941419825,708.3437941419825,708.3437941419825,708.3437941419825,708.3437941419825,708.3437941419825,708.3437941419825,708.3437941419825
814.9044299229325,814.9044299229325,814.9044299229325,814.9044299229325,814.9044299229325,814.9044299229325,814.9044299229325,814.9044299229325,814.9044299229325,814.9044299229325
841.3952669982824,841.3952669982824,841.3952669982824,841.3952669982824,841.3952669982824,841.3952669982824,841.3952669982824,841.3952669982824,841.3952669982824,841.3952669982824
827.3782059926027,827.3782059926027,827.3782059926027,827.3782059926027,827.3782059926027,827.3782059926027,827.3782059926027,827.3782059926027,827.3782059926027,827.3782059926027
596.8634683776888,596.8634683776888,596.8634683776888,596.8634683776888,596.8634683776888,596.8634683776888,596.8634683776888,596.8634683776888,596.8634683776888,596.8634683776888
826.7714112670606,826.7714112670606,826.7714112670606,826.7714112670606,826.7714112670606,826.7714112670606,826.7714112670606,826.7714112670606,826.7714112670606,826.7714112670606
685.4033633904908,685.4033633904908,685.4033633904908,685.4033633904908,685.4033633904908,685.4033633904908,685.4033633904908,685.4033633904908,685.4033633904908,685.4033633904908
503.70447159356746,503.70447159356746,503.70447159356746,503.70447159356746,503.70447159356746,503.70447159356746,503.70447159356746,503.70447159356746,503.70447159356746,503.70447159356746
819.8925953749458,819.8925953749458,819.8925953749458,819.8925953749458,819.8925953749458,819.8925953749458,819.8925953749458,819.8925953749458,819.8925953749458,819.8925953749458
655.4804402420099,655.4804402420099,655.4804402420099,655.4804402420099,655.4804402420099,655.4804402420099,655.4804402420099,655.4804402420099,655.4804402420099,655.4804402420099
644.6820978968545,644.6820978968545,644.6820978968545,644.6820978968545,644.6820978968545,644.6820978968545,644.6820978968545,644.6820978968545,644.6820978968545,644.6820978968545
622.7902722937096,622.7902722937096,622.7902722937096,622.7902722937096,622.7902722937096,622.7902722937096,622.7902722937096,622.7902722937096,622.7902722937096,622.7902722937096
615.9450477716848,717.2825752157679,678.3591230513836,615.9450477716848,615.9450477716848,615.9450477716848,609.2047697249476,615.9450477716848,604.005188095733,623.7580061318729
650.2889669810788,723.4167087223879,714.0787878256293,665.1824501125561,690.0406200632417,710.7845687049936,674.1721239209252,665.0695957250202,638.1490474885165,652.1069066083248
646.3121404904153,701.9508107758073,686.2231328730063,656.8572704450634,681.2893956663894,689.620783782859,676.9943485943236,654.2127920091742,678.4456110182322,647.017654420262
633.6962249674817,715.697194675817,687.0840963536849,651.1983171269857,682.3195625583037,706.9220291710936,668.8807275479621,644.7779186468339,661.7327244483504,641.9400109744255
630.2070730747635,711.123090946721,689.9491103524858,641.7586497091194,682.5796965776722,688.9766284321497,657.3217267013814,639.983406881244,650.1338978792866,637.8756880651569
616.5687803693938,690.578713913098,679.8369309260246,636.6867848308927,664.9010573500988,691.9560444867412,645.7272101644152,638.9887825686179,658.5975563171344,626.158668802461
608.6235000890728,681.4648043041279,667.3261455875742,624.8192824297723,655.6465379670855,694.1867488043216,632.5586402242025,617.6174489845246,644.0033601437369,612.2588105269061
606.1525308578161,673.5012959946005,660.9925006703759,624.3835187078691,645.130887346617,674.5640000137072,612.937905532598,607.0899955277569,638.742652130606,606.516007378527
589.4678475478113,664.7699972759368,644.8775631155015,602.5038077834798,631.9739073698479,670.7280372045194,623.1721299063222,601.1183281694234,645.4340057376869,596.9482520020803
580.9863117879978,655.7023373997421,644.8670394373182,590.8267709583998,616.1465995465462,674.1021995868829,594.3487997600574,582.1093268877197,620.7477445653855,587.5952405553437
576.0993499920907,647.3892373038932,631.2721141246344,590.8189219699299,610.1816039832006,644.4683986183037,616.0572681737781,578.5743011213907,626.2072680196903,580.0003482072701
573.7626743573073,634.5955091676115,625.076629014119,583.5376935093839,604.91578749558,651.5794339486415,595.163002967491,574.8146128713429,624.2758347402803,584.4736412320256
564.515598132369,630.4310924331116,628.6945218230873,578.3529876719723,599.1905148609703,650.4571290145828,595.3004645881541,560.2519150472253,607.9246517320951,565.3770327331507
560.2672999715008,616.7725294354632,609.9328807325726,569.4804699013573,589.5495811989065,632.1397261993346,590.3426435846454,559.2422867123263,613.4457872358734,570.2383306601694
