Base,RainFall (645 mm),Faidherbia (6 / ha),LSU +25%,LSU Full capacity,Crop residue,Rotation Millet-Groundhut,Grazing anywhere anytime,No solidarity,Use own fallow permitted
372,372,372,372,372,372,372,372,372,372
377,377,377,377,377,377,377,377,377,377
382,382,382,382,382,382,382,382,382,382
387,387,387,387,387,387,387,387,387,387
392,392,392,392,392,392,392,392,392,392
397,397,397,397,397,397,397,397,397,397
402,402,402,402,402,402,402,402,402,402
407,407,407,407,407,407,407,407,407,407
412,412,412,412,412,412,412,412,412,412
417,417,417,417,417,417,417,417,417,417
423,423,423,423,423,423,423,423,423,423
429,429,429,429,429,429,429,429,429,429
435,435,435,435,435,435,435,435,435,435
441,441,441,441,441,441,441,441,441,441
447,447,447,447,447,447,447,447,447,447
453,453,453,453,453,453,453,453,453,453
459,459,459,459,459,459,459,459,459,459
465,465,465,465,465,465,465,465,465,465
471,471,471,471,471,471,471,471,471,471
477,477,477,477,477,477,477,477,477,477
483,483,483,483,483,483,483,483,483,483
489,489,489,489,489,489,489,489,489,489
496,496,496,496,496,496,496,496,496,496
503,503,503,503,503,503,503,503,503,503
510,510,510,510,510,510,510,510,396,510
517,517,517,517,517,517,517,517,370,517
524,524,524,524,524,524,524,524,345,524
531,531,531,531,531,531,531,531,333,531
538,538,538,538,538,538,538,538,329,538
545,545,545,545,545,545,545,545,330,545
552,552,552,552,552,552,552,552,330,552
559,559,559,559,559,559,559,559,330,559
566,567,567,567,567,567,561,567,331,564
570,575,575,574,575,575,569,572,327,564
570,583,583,576,582,583,564,571,326,567
566,589,588,571,580,591,572,569,328,562
565,595,593,571,581,599,561,567,326,559
564,597,595,572,581,603,569,567,325,562
559,593,591,569,573,600,556,566,324,559
559,591,590,567,572,603,564,554,322,551
559,590,584,563,570,604,550,556,324,548
555,585,579,558,565,599,557,556,318,548
550,581,576,555,562,596,544,552,316,542
547,578,576,553,562,596,551,553,319,540
545,575,570,549,559,590,539,549,319,535
544,571,568,543,547,586,546,544,313,534
540,571,569,542,545,585,536,543,316,536
535,571,565,538,544,579,543,539,315,536
532,564,561,535,543,575,535,534,313,534
