evolution$generation,evolution$evaluated,peanutSeedToFood,rotationCycle,ownFallowUse,loanStrategy,foodDonation,drySeasonHerdStrategy,wetSeasonHerdStrategy,peanutForInexcess,populationGrowth,rainFall,giniParcels,mulching,nbFaidherbia,objective$om_lastSoilQuality,objective$om_lastEffectiveFallowRatio,lastEffectiveFallowRatio,effectiveFallowRatioDynamic,migrantDynamic,populationDynamic,lastSoilQuality,herdDynamic,milYieldDynamic,kitchenSizeDynamic,populationSlope
900,37580,2.2594582570301904,ThreeYears,UseFallowIfNeeded,AllExtraParcelsLoaner,FoodForAllStrategy,OwnerOnly,EverywhereByDayOwnerByNight,0.0,0.010216085051387587,693,0.3,0.49994598638992716,10,1.371546694932491,0.06542056074766354,0.06542056074766354,"[0.5048543689320388,0.514018691588785,0.4537037037037037,0.4854368932038835,0.4672897196261682,0.42592592592592593,0.39805825242718446,0.40186915887850466,0.4166666666666667,0.36893203883495146,0.37383177570093457,0.37962962962962965,0.3300970873786408,0.32710280373831774,0.28703703703703703,0.22330097087378642,0.2523364485981308,0.24074074074074073,0.13592233009708737,0.17757009345794392,0.12962962962962962,0.04854368932038835,0.11214953271028037,0.09259259259259259,0.0,0.06542056074766354]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0]","[484,488,492,497,502,507,512,517,522,527,532,537,542,547,552,557,562,567,572,577,582,587,591,596,602,608]",1.371546694932491,"[47,50,46,47,49,46,46,49,46,46,49,46,45,47,44,41,46,42,40,45,38,37,42,37,36,42]","[1008.0353230714793,1012.6868930849016,1008.744628935383,1006.419026608961,1013.7694414808382,1008.1084185176326,1004.9866791169836,1011.617914762295,1010.2842591211842,1005.8845249997993,1011.3429884626786,1012.0487372721346,1005.9854710693336,1009.1365160661852,1007.8016780644531,1004.4808392588488,1003.0723287367247,1005.9775053913128,1003.2086400309689,999.2474404029233,1007.7813084198325,1003.6815692405198,998.0570071467591,1006.1026082379241,1002.7940120582182,996.9759200194393]","[16.133333333333333,16.266666666666666,16.4,16.566666666666666,16.733333333333334,16.9,17.066666666666666,17.233333333333334,17.4,17.566666666666666,17.733333333333334,17.9,18.066666666666666,17.64516129032258,17.806451612903224,17.40625,17.03030303030303,17.181818181818183,16.823529411764707,16.970588235294116,16.62857142857143,16.305555555555557,15.972972972972974,16.10810810810811,16.27027027027027,16.43243243243243]",4.96991452991453
900,37580,2.03513872567017,ThreeYears,UseFallowIfNeeded,AllExtraParcelsLoaner,FoodForAllStrategy,AnywhereAnyTime,EverywhereByDayOwnerByNight,0.1917075605290034,0.011125653018677475,790,0.1,1.0,21,2.0580970969735892,0.5046728971962616,0.5046728971962616,"[0.5533980582524272,0.5233644859813084,0.5740740740740741,0.5339805825242718,0.514018691588785,0.5740740740740741,0.49514563106796117,0.514018691588785,0.5833333333333334,0.47572815533980584,0.5233644859813084,0.5833333333333334,0.46601941747572817,0.514018691588785,0.5648148148148148,0.4854368932038835,0.514018691588785,0.5370370370370371,0.4854368932038835,0.5046728971962616,0.5555555555555556,0.46601941747572817,0.5046728971962616,0.5370370370370371,0.4563106796116505,0.5046728971962616]","[11,5,7,2,8,5,3,1,7,3,3,3,0,6,10,4,3,6,3,4,6,4,3,3,1,4]","[474,474,472,475,472,472,474,478,476,478,480,482,487,486,481,482,484,483,485,486,485,486,488,490,494,495]",2.0580970969735892,"[9,8,9,8,8,7,6,8,7,6,8,6,5,8,6,5,8,6,5,8,6,4,7,5,3,7]","[1115.835239385847,1117.3430885497116,1117.8114246074626,1115.7009891441367,1116.9928921290038,1118.1952891436506,1115.343090672034,1117.5168824310233,1117.8720350376677,1115.5081687628176,1117.4304352240383,1118.0472304188522,1115.8327598051794,1117.0174821884443,1117.4562999141467,1116.374690876584,1117.016052228954,1117.6971844818074,1116.3798863416262,1116.473921272744,1118.699532807342,1115.8455161490883,1117.3002007968798,1118.0490682451928,1116.1211037554613,1117.4175690734712]","[15.8,15.8,15.733333333333333,15.833333333333334,15.733333333333333,15.733333333333333,15.8,15.933333333333334,15.866666666666667,15.933333333333334,16.0,16.066666666666666,16.233333333333334,16.2,16.033333333333335,16.066666666666666,16.133333333333333,16.1,16.166666666666668,16.2,16.166666666666668,16.2,15.741935483870968,15.806451612903226,15.935483870967742,15.96774193548387]",0.8160683760683743
900,37580,2.2261869703515464,ThreeYears,UseFallowIfNeeded,Selfish,FoodForAllStrategy,OwnerOnly,AnywhereAnyTime,0.003251839236428245,0.020514211568259118,669,0.5,0.8474557271762058,19,1.8344111193128094,0.48598130841121495,0.48598130841121495,"[0.6407766990291263,0.7383177570093458,0.7592592592592593,0.6116504854368932,0.6542056074766355,0.7037037037037037,0.5533980582524272,0.6448598130841121,0.6759259259259259,0.5242718446601942,0.5981308411214953,0.6574074074074074,0.5048543689320388,0.5700934579439252,0.6388888888888888,0.4368932038834951,0.5514018691588785,0.6296296296296297,0.44660194174757284,0.5327102803738317,0.6018518518518519,0.4368932038834951,0.5046728971962616,0.6018518518518519,0.4368932038834951,0.48598130841121495]","[17,26,4,9,3,13,4,5,1,2,4,7,2,1,5,0,1,9,3,10,6,7,4,9,0,2]","[428,391,380,372,376,370,373,375,381,386,389,389,394,401,404,408,415,414,419,417,419,420,424,420,428,434]",1.8344111193128094,"[23,24,25,20,18,23,18,18,21,17,18,21,16,18,21,15,19,20,14,18,19,13,16,19,14,15]","[1019.2943755152193,1021.6343226806883,1024.2879473436476,1022.2332130159706,1023.7091227806455,1022.0497743670455,1022.7471451642404,1023.3372022694682,1022.0911098246133,1022.6113015614364,1023.3944713566896,1023.237689664992,1023.1184425485577,1023.6365682432129,1023.0516285003876,1022.5824085179164,1023.2802348117152,1023.5211341748155,1022.4928646316646,1023.196261492793,1023.5244573000751,1022.1286840915672,1023.5373963060629,1022.7046060940696,1022.9096142698708,1023.5079821795167]","[17.12,15.038461538461538,15.2,14.307692307692308,13.925925925925926,13.703703703703704,13.814814814814815,13.88888888888889,14.11111111111111,14.296296296296296,14.407407407407407,14.407407407407407,14.592592592592593,14.851851851851851,14.962962962962964,15.11111111111111,14.821428571428571,14.785714285714286,14.964285714285714,14.892857142857142,14.964285714285714,14.482758620689655,14.620689655172415,15.0,14.266666666666667,14.466666666666667]",2.0564102564102527
900,37580,2.4470631924820525,ThreeYears,UseFallowIfNeeded,Selfish,FoodForUsOnlyStrategy,EverywhereByDayOwnerByNight,OwnerOnly,0.036679831892519034,0.02036507072676107,485,0.1,0.7158960189824846,9,1.297430673952709,0.34579439252336447,0.34579439252336447,"[0.1553398058252427,0.27102803738317754,0.35185185185185186,0.2815533980582524,0.308411214953271,0.3611111111111111,0.32038834951456313,0.3177570093457944,0.3425925925925926,0.2815533980582524,0.27102803738317754,0.32407407407407407,0.3106796116504854,0.308411214953271,0.32407407407407407,0.2912621359223301,0.3364485981308411,0.3333333333333333,0.30097087378640774,0.3364485981308411,0.3425925925925926,0.2912621359223301,0.3364485981308411,0.37037037037037035,0.3106796116504854,0.34579439252336447]","[46,30,21,6,8,15,5,2,8,3,3,7,13,5,6,11,5,7,11,3,7,5,6,12,10,2]","[435,405,390,391,390,382,384,389,384,388,392,392,386,388,389,385,385,385,381,383,383,385,386,381,378,383]",1.297430673952709,"[10,14,14,11,13,16,12,13,16,11,13,14,13,13,13,12,16,15,12,15,15,12,14,15,13,14]","[779.737613680528,776.1955345157523,779.0516977184137,776.7317845805854,775.5602729404408,774.2216613978939,780.4626672131259,775.1234745500523,772.7064612989049,776.3835170961336,775.4080094562917,779.1971790848437,778.2431198945212,777.2547111618461,776.9104052350461,776.5709778125247,778.3961046339235,776.1201574475377,777.8136771796036,778.2837648660021,777.9533658800174,776.5135186460077,779.1127231380988,779.8017268943189,775.7183547528816,779.7122147252121]","[15.0,13.96551724137931,13.448275862068966,13.482758620689655,13.448275862068966,13.172413793103448,13.241379310344827,13.413793103448276,14.222222222222221,13.857142857142858,14.0,14.0,13.785714285714286,13.379310344827585,13.413793103448276,13.275862068965518,13.75,13.275862068965518,13.137931034482758,13.678571428571429,13.206896551724139,13.275862068965518,13.310344827586206,13.137931034482758,13.03448275862069,13.206896551724139]",-0.8307692307692324
900,37580,1.2299870021075852,ThreeYears,UseFallowIfNeeded,AllExtraParcelsLoaner,FoodForAllStrategy,OwnerOnly,EverywhereByDayOwnerByNight,0.3814799872132658,0.018407352276150785,596,0.4,0.18881071351786094,0,0.6704331286637338,0.7289719626168224,0.7289719626168224,"[0.22330097087378642,0.3177570093457944,0.4351851851851852,0.5825242718446602,0.6261682242990654,0.7129629629629629,0.7378640776699029,0.7570093457943925,0.8240740740740741,0.8058252427184466,0.794392523364486,0.8425925925925926,0.8252427184466019,0.8130841121495327,0.8425925925925926,0.8155339805825242,0.794392523364486,0.8425925925925926,0.7669902912621359,0.7757009345794392,0.8148148148148148,0.7475728155339806,0.7289719626168224,0.7962962962962963,0.7572815533980582,0.7289719626168224]","[98,53,37,17,11,8,5,7,8,5,6,4,2,2,2,2,2,3,0,2,3,2,2,3,3,6]","[297,248,215,199,190,185,183,179,174,172,169,168,169,170,171,172,173,173,176,176,176,177,178,178,178,175]",0.6704331286637338,"[26,30,26,28,27,28,29,28,27,28,28,28,29,28,27,28,28,28,28,28,26,27,28,27,28,28]","[375.9067853974228,393.3941760356818,419.65552995356325,426.01433221334287,428.87453386886654,427.95900359450894,440.3422895106036,445.06236112002,438.16629706723944,440.130901810208,441.3834374698932,439.131855611684,442.7925725360947,444.66321110791677,437.67970476892316,439.72259981875305,440.45014871192944,440.5739245214988,435.6470569310016,442.04667210122346,438.0979679452237,429.0963717196376,433.93566912600954,439.4747368895055,433.6227028739136,436.62113680238417]","[15.631578947368421,22.545454545454547,14.333333333333334,14.214285714285714,13.571428571428571,13.214285714285714,13.071428571428571,12.785714285714286,12.428571428571429,12.285714285714286,12.071428571428571,12.0,12.071428571428571,12.142857142857142,12.214285714285714,12.285714285714286,12.357142857142858,12.357142857142858,12.571428571428571,13.538461538461538,12.571428571428571,12.642857142857142,12.714285714285714,12.714285714285714,12.714285714285714,12.5]",-2.151452991452993
900,37580,2.415661525082716,ThreeYears,UseFallowIfNeeded,Selfish,FoodForAllStrategy,OwnerOnly,OwnerOnly,0.005519828310839811,0.026738392590899912,501,0.3,0.6504807187637717,4,1.0226268986108884,0.2897196261682243,0.2897196261682243,"[0.2815533980582524,0.2616822429906542,0.32407407407407407,0.30097087378640774,0.308411214953271,0.3425925925925926,0.33980582524271846,0.2616822429906542,0.3611111111111111,0.3592233009708738,0.2803738317757009,0.3148148148148148,0.33980582524271846,0.2803738317757009,0.32407407407407407,0.3300970873786408,0.2803738317757009,0.3425925925925926,0.32038834951456313,0.2803738317757009,0.2962962962962963,0.32038834951456313,0.29906542056074764,0.3055555555555556,0.2912621359223301,0.2897196261682243]","[55,29,19,6,10,11,6,5,11,6,5,4,10,11,5,9,11,7,9,5,5,11,8,4,8,8]","[363,341,331,331,326,322,324,327,324,326,329,333,331,328,331,330,327,328,327,330,333,329,327,331,331,331]",1.0226268986108884,"[14,14,15,14,17,16,15,16,16,15,17,17,16,18,16,15,17,16,15,16,16,15,18,17,17,17]","[610.6116492699242,616.4777775757043,630.5801962865515,624.5538353727206,635.1290219855329,623.7823486917283,629.2239614165164,628.6818070663847,631.7090902539842,637.9405027075308,625.3975320928994,629.1485223278669,638.4129072712425,630.9932573118263,631.0396839921298,634.309998791145,630.239270510744,631.2066189402796,629.6807229477392,630.8116885072666,626.1498599771551,632.7179800858114,618.045850927936,620.5238639158526,635.5860240197043,628.1475968089247]","[17.285714285714285,14.826086956521738,13.791666666666666,14.391304347826088,14.173913043478262,14.0,14.08695652173913,14.217391304347826,14.08695652173913,14.173913043478262,14.304347826086957,14.478260869565217,14.391304347826088,14.26086956521739,14.391304347826088,14.347826086956522,14.217391304347826,14.26086956521739,14.217391304347826,14.347826086956522,14.478260869565217,14.304347826086957,14.863636363636363,15.045454545454545,15.045454545454545,15.045454545454545]",-0.2642735042735023
900,37580,1.0031106722774774,ThreeYears,UseFallowIfNeeded,ExtraParcelsExceptFallowLoaner,FoodForAllStrategy,AnywhereAnyTime,OwnerOnly,0.3025336662979851,0.027484152252519375,730,0.3,0.23835709764894109,8,1.0733262868212246,0.48598130841121495,0.48598130841121495,"[0.5728155339805825,0.5794392523364486,0.6481481481481481,0.5533980582524272,0.6355140186915887,0.6851851851851852,0.5631067961165048,0.5794392523364486,0.6574074074074074,0.5533980582524272,0.5607476635514018,0.5925925925925926,0.5048543689320388,0.5233644859813084,0.6203703703703703,0.5048543689320388,0.5420560747663551,0.5833333333333334,0.5048543689320388,0.514018691588785,0.6018518518518519,0.4854368932038835,0.5233644859813084,0.5925925925925926,0.44660194174757284,0.48598130841121495]","[20,20,24,9,9,17,4,11,7,7,7,9,8,12,9,10,10,11,5,12,12,8,8,8,9,9]","[441,425,412,409,408,402,409,409,413,417,421,423,426,425,427,428,429,429,435,434,433,436,439,443,446,449]",1.0733262868212246,"[62,63,62,62,62,62,61,60,62,60,60,62,61,59,60,60,59,60,60,59,60,59,59,59,59,59]","[954.3968586300164,968.3307240521137,982.0243527705078,963.552492203089,974.416228682077,984.1328142208793,965.0389700630169,979.5342354913404,983.6983001333473,964.427156713506,978.6822027387008,977.6969564317983,962.3687000540672,975.8898743683068,981.4153252681001,962.8311043634967,979.6977606525077,978.005069851798,963.4662341484474,977.7802441597853,980.382293788921,962.648639857288,979.195275033898,979.6970351788818,958.562819796099,974.9108951095952]","[16.96153846153846,16.346153846153847,15.846153846153847,16.36,16.32,14.88888888888889,15.148148148148149,15.148148148148149,15.296296296296296,15.444444444444445,15.592592592592593,15.666666666666666,15.214285714285714,15.178571428571429,14.724137931034482,14.758620689655173,14.793103448275861,14.793103448275861,15.0,14.96551724137931,14.931034482758621,15.03448275862069,15.137931034482758,14.766666666666667,14.866666666666667,14.966666666666667]",1.275213675213678
900,37580,2.1576896113228274,ThreeYears,UseFallowIfNeeded,AllExtraParcelsLoaner,FoodForAllStrategy,EverywhereByDayOwnerByNight,AnywhereAnyTime,0.0,0.03,591,0.4,1.0,11,1.7415913878455633,0.0,0.0,"[0.5145631067961165,0.40186915887850466,0.3611111111111111,0.39805825242718446,0.2616822429906542,0.19444444444444445,0.18446601941747573,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0,0,0,0,1,1,0,0,2,0,7,27,10,40,27,2,33,18,5,43,10,7,38,7,15,26]","[494,508,523,538,553,568,585,602,618,636,648,637,646,622,605,620,603,603,616,587,594,604,582,592,591,579]",1.7415913878455633,"[13,10,8,10,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[928.0391826319557,927.3341372475954,933.8370458865936,932.5369878098553,929.8433594920031,936.3785279102971,936.0391894023223,932.1067840245527,935.4800941649223,937.8491083153993,936.1626483139777,938.9125324907043,936.7588635419104,933.9093765058982,928.4836331666005,931.2119068135946,932.4472972236165,926.7958948028697,934.5063954309244,930.6946003262308,924.0713733301193,934.3938531347131,928.6546146055722,924.3233860607229,932.1086410732561,924.6583956389301]","[16.466666666666665,16.933333333333334,17.433333333333334,17.933333333333334,17.28125,17.75,17.727272727272727,16.72222222222222,17.166666666666668,17.18918918918919,16.2,15.536585365853659,15.023255813953488,14.80952380952381,15.512820512820513,15.121951219512194,15.075,14.707317073170731,14.666666666666666,14.675,14.142857142857142,14.380952380952381,14.195121951219512,13.767441860465116,14.414634146341463,14.121951219512194]",2.437606837606837
900,37580,1.0677608735620345,ThreeYears,NeverUseFallow,AllExtraParcelsLoaner,FoodForUsOnlyStrategy,EverywhereByDayOwnerByNight,AnywhereAnyTime,0.0,0.006709263165991454,790,0.5,0.9688654204789129,17,2.0381996466221746,0.719626168224299,0.719626168224299,"[1.0,1.0,0.9722222222222222,1.0,0.9719626168224299,0.9351851851851852,0.9514563106796117,0.897196261682243,0.8796296296296297,0.912621359223301,0.8411214953271028,0.8611111111111112,0.883495145631068,0.8317757009345794,0.8518518518518519,0.8252427184466019,0.8037383177570093,0.8425925925925926,0.8252427184466019,0.7757009345794392,0.8055555555555556,0.7961165048543689,0.7383177570093458,0.7870370370370371,0.7766990291262136,0.719626168224299]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,1,0,0,0,1]","[483,486,489,492,495,498,501,504,507,510,513,516,519,522,524,527,527,530,533,534,537,539,542,545,548,550]",2.0381996466221746,"[29,29,27,29,28,26,28,27,24,27,26,24,26,26,24,24,25,24,24,24,23,23,23,23,23,22]","[1112.99876102187,1115.2609090843848,1114.6152660147136,1112.8882147208128,1115.5583979645894,1114.4104993801025,1112.9187462434104,1115.0418008010167,1115.221263357793,1113.219093621904,1113.8232808676028,1116.3128498322892,1113.324968159078,1113.288811456685,1116.665861758179,1112.9551287222496,1112.8943543792623,1117.536120499341,1112.4660767476657,1112.9330728732866,1116.7969640794558,1113.171662239107,1112.556567443211,1116.6195001775131,1114.6077885657846,1113.1956050007664]","[16.1,16.2,16.3,16.4,16.5,16.6,16.7,16.8,16.9,17.0,17.1,17.2,17.3,17.4,17.466666666666665,17.566666666666666,17.566666666666666,17.666666666666668,17.766666666666666,17.8,17.9,17.966666666666665,17.483870967741936,17.580645161290324,17.677419354838708,17.741935483870968]",2.6430769230769244
900,37580,1.0559136194435976,ThreeYears,UseFallowIfNeeded,Selfish,FoodForAllStrategy,EverywhereByDayOwnerByNight,OwnerOnly,0.5323846517414793,0.021943602929096303,800,0.1,0.7884282202054168,6,1.2231236767398088,0.7757009345794392,0.7757009345794392,"[0.49514563106796117,0.6448598130841121,0.6759259259259259,0.6601941747572816,0.6822429906542056,0.7129629629629629,0.7184466019417476,0.719626168224299,0.7592592592592593,0.7281553398058253,0.7102803738317757,0.8055555555555556,0.7475728155339806,0.7383177570093458,0.7777777777777778,0.7281553398058253,0.719626168224299,0.7685185185185185,0.7184466019417476,0.7383177570093458,0.7592592592592593,0.7184466019417476,0.7383177570093458,0.7870370370370371,0.7281553398058253,0.7757009345794392]","[67,28,23,10,14,14,13,17,8,6,13,7,7,4,6,4,4,11,13,7,5,5,4,9,3,8]","[423,401,386,382,376,365,360,350,348,349,343,338,337,340,341,344,347,343,337,335,337,336,339,336,337,336]",1.2231236767398088,"[20,20,24,25,21,26,26,23,28,25,24,28,27,23,25,26,22,24,25,24,24,26,23,26,26,25]","[912.5734884334657,938.9715564891347,907.2146511674381,918.1228524009495,916.7451073912508,909.5350396617098,912.8356576905367,921.7465790049885,909.2800768906409,914.954687601324,915.2391777962386,927.5944024112762,905.233748727332,914.4414794974285,908.7781672688442,904.8593385822556,919.5067033921032,910.3108858416343,902.110274267473,917.2791682857251,904.0467064152809,900.9517630115355,911.9590127769766,911.9070781347982,898.4036213947224,920.9914753304652]","[14.1,13.827586206896552,13.310344827586206,13.642857142857142,12.96551724137931,13.518518518518519,13.333333333333334,12.962962962962964,13.384615384615385,12.925925925925926,12.703703703703704,13.0,12.961538461538462,12.592592592592593,12.62962962962963,12.74074074074074,12.851851851851851,12.703703703703704,12.481481481481481,12.884615384615385,12.481481481481481,12.923076923076923,12.555555555555555,12.923076923076923,13.48,13.44]",-2.4355555555555526
