Year,ID,Area,QS,N/ha,Manure/ha,Mulch/ha,Yield/ha,for crop
1,Parcel39970.51060751103-b703609_18a74ce22e5_-63a3,0.346,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel16444.64422943881-b703609_18a74ce22e5_-64dc,0.352,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel83030.14295664267-b703609_18a74ce22e5_-6539,0.343,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel24748.99212718471-b703609_18a74ce22e5_-6324,0.414,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel66648.89522265739-b703609_18a74ce22e5_-64f7,0.268,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel30281.914988006243-b703609_18a74ce22e5_-6321,0.482,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel36056.41955423709-b703609_18a74ce22e5_-6369,0.169,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel27326.665602587473-b703609_18a74ce22e5_-6505,0.439,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel64792.38617348699-b703609_18a74ce22e5_-6520,0.345,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel13646.828821740242-b703609_18a74ce22e5_-6311,0.253,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel42688.593870641875-b703609_18a74ce22e5_-6486,0.392,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel23467.967514400156-b703609_18a74ce22e5_-6309,0.325,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel56734.70915034352-b703609_18a74ce22e5_-635c,0.233,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel10368.11846068838-b703609_18a74ce22e5_-63a1,0.139,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel84040.8775082988-b703609_18a74ce22e5_-64d1,0.330,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel25445.42430966107-b703609_18a74ce22e5_-6327,0.377,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel65329.64501523022-b703609_18a74ce22e5_-637d,0.336,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel74063.64499317617-b703609_18a74ce22e5_-6377,0.433,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel41219.50205948919-b703609_18a74ce22e5_-651e,0.314,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel10251.422363401853-b703609_18a74ce22e5_-636c,0.370,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel69916.61961224306-b703609_18a74ce22e5_-6389,0.377,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel55702.17388277208-b703609_18a74ce22e5_-6300,0.378,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel68240.81164646037-b703609_18a74ce22e5_-6394,0.300,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel64971.42553708809-b703609_18a74ce22e5_-64ee,0.402,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel32649.878464191217-b703609_18a74ce22e5_-6392,0.483,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel27139.18793930319-b703609_18a74ce22e5_-64e5,0.364,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel51120.830721160346-b703609_18a74ce22e5_-64e6,0.322,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel3399.298893090097-b703609_18a74ce22e5_-630e,0.404,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel2377.428058841613-b703609_18a74ce22e5_-64e3,0.268,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel93368.09919611023-b703609_18a74ce22e5_-64ec,0.456,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel14153.324115519672-b703609_18a74ce22e5_-6310,0.231,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel34617.09587082516-b703609_18a74ce22e5_-6358,0.211,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel89023.58163492836-b703609_18a74ce22e5_-6484,0.123,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel81376.62869678852-b703609_18a74ce22e5_-64c5,0.244,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel47492.81173172866-b703609_18a74ce22e5_-63a4,0.129,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel14483.483355363736-b703609_18a74ce22e5_-64d7,0.452,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel62240.58463433374-b703609_18a74ce22e5_-64f0,0.366,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel7656.199577188305-b703609_18a74ce22e5_-6317,0.211,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel28310.5060608449-b703609_18a74ce22e5_-6318,0.355,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel41145.88242841437-b703609_18a74ce22e5_-6367,0.327,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel20889.68122091763-b703609_18a74ce22e5_-6526,0.409,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel66104.23649327611-b703609_18a74ce22e5_-630b,0.507,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel24400.591442375553-b703609_18a74ce22e5_-6384,0.184,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel95859.8210342239-b703609_18a74ce22e5_-64c1,0.376,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel20260.88805593973-b703609_18a74ce22e5_-62ec,0.303,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel7196.797322308002-b703609_18a74ce22e5_-633c,0.250,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel22415.702699004014-b703609_18a74ce22e5_-64de,0.230,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel7210.333098941246-b703609_18a74ce22e5_-64da,0.200,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel6611.935446809624-b703609_18a74ce22e5_-6393,0.261,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel95946.77744383986-b703609_18a74ce22e5_-6328,0.253,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel12287.366350172202-b703609_18a74ce22e5_-6395,0.503,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel73676.49297700624-b703609_18a74ce22e5_-653b,0.447,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel5334.006044203988-b703609_18a74ce22e5_-64f3,0.326,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel65728.35954499237-b703609_18a74ce22e5_-64eb,0.211,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel51866.746218185275-b703609_18a74ce22e5_-637e,0.159,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel72902.83540714497-b703609_18a74ce22e5_-6322,0.416,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel53628.52588610751-b703609_18a74ce22e5_-64ff,0.379,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel26444.345907332932-b703609_18a74ce22e5_-62fd,0.505,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel89525.98208193677-b703609_18a74ce22e5_-64b6,0.339,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel9686.991955535495-b703609_18a74ce22e5_-6361,0.363,1.000,39.500,0.000,0.000,0.000,NotAssigned
1,Parcel46159.1278343666-b703609_18a74ce22e5_-64dd,0.222,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel34107.40816861329-b703609_18a74ce22e5_-639b,0.374,1.000,39.500,0.000,824.363,706.597,Millet
