"","year","yearly_precip"
"1",1979,525.673389021479
"2",1980,393.449546539379
"3",1981,426.018400954654
"4",1982,466.488878281623
"5",1983,269.210954653938
"6",1984,452.499403341289
"7",1985,502.100525059666
"8",1986,395.587398568019
"9",1987,484.711622911695
"10",1988,593.628257756563
"11",1989,672.334725536992
"12",1990,377.037422434368
"13",1991,409.916062052506
"14",1992,432.216658711217
"15",1993,470.650453460621
"16",1994,453.485632458234
"17",1995,623.958162291169
"18",1996,404.623102625298
"19",1997,408.594749403341
"20",1998,388.127780429595
"21",1999,729.56737470167
"22",2000,620.835178997613
"23",2001,528.937159904535
"24",2002,394.234295942721
"25",2003,484.394486873508
"26",2004,395.351527446301
"27",2005,635.18754176611
"28",2006,540.070071599045
"29",2007,526.388257756563
"30",2008,652.328639618138
"31",2009,691.044343675417
"32",2010,720.54983293556
"33",2011,416.71985680191
"34",2012,723.829212410501
"35",2013,536.670501193318
"36",2014,353.816873508353
"37",2015,767.225465393795
"38",2016,527.952816229117
"39",2017,509.349403341289
"40",2018,501.678019093078
"41",2019,0.42035799522673
