seed,ef,pop,yield,herd
1,0.3490566037735849,510,688.2746324675758,90
2,0.46296296296296297,510,700.8345351831201,90
3,0.42201834862385323,510,702.5959734296886,91
4,0.38317757009345793,510,703.878995324412,91
5,0.3867924528301887,510,697.7362053029103,89
6,0.37719298245614036,510,646.0185610441091,86
7,0.45535714285714285,510,697.2304442792558,91
8,0.37272727272727274,510,696.2561404571516,89
9,0.43243243243243246,510,669.1081290968708,89
10,0.4056603773584906,510,696.2274639397912,90
11,0.37962962962962965,510,654.4002871442482,87
12,0.39215686274509803,510,691.7144496186373,85
13,0.40540540540540543,510,674.7248492190597,88
14,0.4485981308411215,510,698.623704518466,90
15,0.4326923076923077,510,690.9404646907672,87
16,0.39622641509433965,510,711.6751330475887,86
17,0.32075471698113206,510,672.882634341082,89
18,0.42990654205607476,510,693.6191524689517,89
19,0.3211009174311927,510,663.3124934873609,88
20,0.4519230769230769,510,700.6490584836229,87
21,0.3425925925925926,510,684.3598733335231,90
22,0.33636363636363636,510,668.6400308195438,88
23,0.4205607476635514,510,702.1135651103176,88
24,0.3211009174311927,510,674.3130769627764,87
25,0.41818181818181815,510,697.9059678929046,89
26,0.4666666666666667,510,679.0599480009938,89
27,0.41509433962264153,510,699.101611878415,90
28,0.3431372549019608,510,701.0402731093278,91
29,0.33980582524271846,510,701.5193530919961,88
30,0.4375,510,711.5254236262952,89
31,0.3783783783783784,510,670.7621092353437,87
32,0.3853211009174312,510,698.090024457498,89
33,0.375,510,663.2667226485352,88
34,0.41509433962264153,510,718.9681584247395,90
35,0.37168141592920356,510,684.3110076950959,88
36,0.4,510,689.8977927040308,90
37,0.34513274336283184,510,687.8111315959904,89
38,0.38235294117647056,510,695.8610614468976,88
39,0.44954128440366975,510,698.2764346141669,88
40,0.32432432432432434,510,663.9988089394177,87
41,0.44036697247706424,510,700.5991800048542,90
42,0.45454545454545453,510,708.1112465555274,89
43,0.4205607476635514,510,693.7338807223895,89
44,0.3867924528301887,510,679.0403777846986,88
45,0.42727272727272725,510,671.0762240397274,88
46,0.3177570093457944,510,670.1465834023116,88
47,0.3523809523809524,510,691.3417943555564,87
48,0.33636363636363636,510,689.8277227182857,88
49,0.40540540540540543,510,709.1532315878696,88
50,0.3669724770642202,510,676.4627049942363,89
51,0.3644859813084112,510,672.4821383835972,87
52,0.4095238095238095,510,710.2739653660785,89
53,0.37037037037037035,510,681.8691691066115,90
54,0.3888888888888889,510,701.7977357365776,90
55,0.4019607843137255,510,697.3769585965932,89
56,0.42727272727272725,510,705.7953245838715,90
57,0.42342342342342343,510,691.976333182035,85
58,0.38317757009345793,510,699.3938436239882,89
59,0.36792452830188677,510,703.7480063799613,89
60,0.3,510,673.601335020636,89
61,0.3148148148148148,510,683.8765858965498,86
62,0.47706422018348627,510,692.5133044854203,89
63,0.34545454545454546,510,681.0023265403968,87
64,0.4205607476635514,510,685.671058913475,88
65,0.4380952380952381,510,718.3701910590714,90
66,0.4074074074074074,510,705.3071044874381,89
67,0.4090909090909091,510,702.8931327137656,89
68,0.3669724770642202,510,699.7788942635874,88
69,0.33962264150943394,510,668.4512246768344,88
70,0.4,510,659.9033901865112,89
71,0.36363636363636365,510,707.9890927107737,87
72,0.39285714285714285,510,685.8145139228495,86
73,0.40540540540540543,510,688.290276801209,88
74,0.34234234234234234,510,665.3716655045426,89
75,0.4326923076923077,510,703.8114724579281,89
76,0.3925233644859813,510,665.5380131923024,89
77,0.4537037037037037,510,683.6310004398442,88
78,0.37272727272727274,510,675.1839407398045,86
79,0.38317757009345793,510,679.3715995570022,90
80,0.4722222222222222,510,713.3588418933991,89
81,0.44545454545454544,510,687.2334585358828,88
82,0.375,510,700.9498728379486,89
83,0.30357142857142855,510,658.1929841980387,87
84,0.41509433962264153,510,694.6514088957081,88
85,0.37383177570093457,510,683.6332831190672,88
86,0.45714285714285713,510,717.2219801663716,90
87,0.4,510,698.0832362560965,89
88,0.4485981308411215,510,718.477453241411,87
89,0.35135135135135137,510,666.8355828699569,88
90,0.391304347826087,510,693.9023124847517,87
91,0.4424778761061947,510,710.8806665473691,88
92,0.42727272727272725,510,691.7504818689747,86
93,0.45454545454545453,510,709.523791359264,89
94,0.4351851851851852,510,693.3446311072571,88
95,0.3761467889908257,510,657.9885132789941,89
96,0.4444444444444444,510,706.2081456152534,86
97,0.4056603773584906,510,679.1295448716237,85
98,0.35714285714285715,510,677.3502919421512,88
99,0.4205607476635514,510,674.1586719044528,88
100,0.36607142857142855,510,685.2772516054122,87
