evolution$generation,evolution$evaluated,giniParcelles,croissanceDemographique,troupeau,giniTroupeau,malusFertilite,strategiePaturage,objective$deltaPopulation,objective$deltaFertilite,evolution$samples,deltaFertilite,deltaPopulation
3100,77031,0.1,0.019359105091158738,191.2026969519481,0.33667124548046967,0.3185295963724228,collectif,0.1,0.11907636145386587,3,"[0.1306573078053626,0.11907636145386587,0.10277035071402783]","[0.1125,0.1,0.0625]"
3100,77031,0.1029854211578691,0.019048709254205477,208.9611949730244,0.3026915089743426,0.3543414480556415,collectif,0.15,0.06846109643877764,1,"[0.06846109643877764]","[0.15]"
3100,77031,0.1,0.01933355911210206,250.0,0.6,0.0,collectif,0.125,0.003074195217956908,1,"[0.003074195217956908]","[0.125]"
3100,77031,0.18964103254653644,0.006063505562069356,202.46083582114096,0.34838918432520294,0.4488213911574619,collectif,-0.075,0.011900960455270067,30,"[0.014884095047611956,0.02238695863359168,-0.0022573347780359787,-0.0026324806506892173,0.0029904685081852053,-0.017308078292664127,0.03466005781840342,-0.030682605083870544,0.03077444295448749,-0.02104825160266337,0.03452225099245806,0.02374507386353681,0.0038839451987777362,0.016699939121524097,0.02417975717379308,0.030069442712330932,0.0013500223857897144,0.006804953554953713,0.010384243880655366,0.032198438256865095,0.03534194591209971,-0.0014466243186386876,0.02310147235120521,-0.007835905230034064,-1.102020546990625E-4,0.013417677029884766,0.01555681219678503,-0.029528795479782734,0.014137611233619847,-0.03545315173496298]","[-0.0875,-0.05,-0.08125,-0.06875,-0.06875,-0.15,-0.0125,-0.08125,-0.025,-0.13125,-0.05625,-0.0125,-0.08125,-0.05,-0.075,-0.0875,-0.0625,-0.08125,-0.075,0.0,-0.06875,-0.09375,-0.0875,-0.0625,-0.125,-0.05,-0.06875,-0.15625,-0.075,-0.0875]"
3100,77031,0.12498260455652997,0.008370687042380268,197.04112006260215,0.27607828109394683,0.5257936837214031,collectif,-0.0125,0.04702722582004287,4,"[0.08008289696368064,0.04276637378354896,0.051288077856536794,0.009080305219207996]","[0.0375,-0.03125,0.00625,-0.0625]"
3100,77031,0.12297232166632567,0.005621043048335696,232.2038176115926,0.2737795102005165,0.46792503457706175,collectif,-0.05625,-0.03036773381715817,15,"[-0.02092688403357659,-0.04795187299295778,-0.03917030581506694,-0.06155259861407666,-0.024223776896223993,-0.044551136363903295,0.0012607970092198201,0.015946758726036438,1.4213338206082813E-5,-0.08866338170998726,-0.015447183040199357,-0.03036773381715817,-0.04169814428509369,-0.02182275740274037,-0.04037561303427991]","[-0.075,-0.05625,-0.0625,-0.075,-0.0375,-0.0875,-0.04375,-0.11875,0.025,-0.19375,-0.0375,-0.05,-0.0625,-0.03125,-0.05]"
3100,77031,0.1,0.02,209.93545097568295,0.341022722028419,0.3162944203941982,collectif,0.05,0.05884236164584969,30,"[0.06303518177166541,0.07480126214039748,0.07872573071239437,0.0472424775396138,0.06245785990671544,0.04365924170807891,0.059894103568569564,0.03345981850868699,0.03337676334314173,0.051103854036199305,0.0672396865103566,0.0984551799949367,0.09454510278404285,0.04146264763248597,0.02580080593954359,0.05549693881778676,0.05439783130491274,0.06498337890819117,0.057569423446352214,0.08032980401892521,0.05995262070572873,0.07549495882042596,0.0692848339711409,0.05020917400263879,0.04484378809130822,0.09057375810184229,0.04515461743665514,0.04441999264497085,0.05779061972312981,0.0746728095805244]","[0.06875,0.09375,0.10625,0.09375,0.08125,0.0125,0.0375,0.01875,0.05,0.05625,0.04375,0.03125,0.14375,0.025,0.04375,0.05,0.04375,0.08125,-0.05,0.1375,0.05,0.09375,0.08125,0.0125,0.0625,0.075,0.01875,0.00625,0.04375,0.1375]"
3100,77031,0.20026868415669397,0.0018064984080316925,244.29338964573813,0.3617472619745906,0.8784489719801878,collectif,-0.09375,-0.07961205442087778,30,"[-0.10215918687673484,-0.10296212465336925,-0.05691910899196507,-0.044079473739775187,-0.0919615381312607,-0.06714514220569498,-0.051010991523695697,-0.1374557403688467,-0.08141232253607261,-0.07940799856831142,-0.043190331724214166,-0.1033755491638247,-0.0953461516054611,-0.0554767974083134,-0.10677764473803739,-0.10241662102786937,-0.03985649126083822,-0.09067029729148372,-0.0885292479465744,-0.04575772708647011,-0.07981611027344414,-0.06431155603017574,-0.067677200158823,-0.08917724524231323,-0.07916359248404621,-0.06908616863134245,-0.04330967606275173,-0.08195970723717651,-0.06852557688112758,-0.10532308888476248]","[-0.11875,-0.11875,-0.1,-0.0875,-0.09375,-0.05625,-0.0875,-0.1875,-0.09375,-0.09375,-0.075,-0.1125,-0.14375,-0.075,-0.15625,-0.0875,-0.025,-0.1,-0.06875,-0.05625,-0.09375,-0.06875,-0.1125,-0.11875,-0.1125,-0.06875,-0.05625,-0.14375,-0.0625,-0.125]"
3100,77031,0.21292843852292473,0.0011692046388464964,220.88095655944522,0.11835384576803734,0.3538206272460687,collectif,-0.11875,-0.03171625127897392,30,"[-0.04354110442406713,-0.013883130127904054,-0.0590604039832396,-0.04956934700041081,0.016574412850831843,-0.01686448157187151,-0.05697518229932042,-0.004221435160517176,-0.03236981957126709,-0.010541004827856854,-0.09086433772795474,-0.013605314519613308,-0.03106268298668075,-0.01692727186828938,-0.02679644409672351,-9.756895276653937E-4,-0.05593939392028479,-0.029037631658560166,-0.05452006649477588,-0.052962636997178625,-0.02464815275366499,-0.04695949423946488,-0.01946917926229247,-0.027866746061313154,-0.06760037360450277,-0.08234283977482308,-0.06047436682849476,-0.04874464495831795,-0.021684441240272464,-0.05412233617698599]","[-0.10625,-0.08125,-0.11875,-0.14375,-0.1,-0.0875,-0.11875,-0.075,-0.16875,-0.11875,-0.20625,-0.1,-0.1625,-0.09375,-0.1125,-0.14375,-0.15625,-0.11875,-0.11875,-0.11875,-0.1,-0.0875,-0.125,-0.0625,-0.125,-0.175,-0.13125,-0.09375,-0.11875,-0.1375]"
3100,77031,0.17224732123951675,0.01787432167587373,162.4371582434698,0.5825562185464557,0.0,collectif,-0.01875,0.1263046329504188,15,"[0.1263046329504188,0.14600705124368654,0.09097863718855848,0.14346792992148932,0.08976593909553719,0.14978053918078502,0.16391882427298313,0.16510386050568174,0.09344875187628711,0.043433036997186196,0.0818744477706514,0.15364117228980456,0.16305080618542228,0.12198656492725651,0.1153102006033894]","[-0.00625,-0.01875,-0.0375,-0.0125,-0.025,0.04375,0.09375,0.01875,-0.04375,-0.10625,-0.03125,0.0375,-0.075,0.025,-0.05]"
