evolution$generation,evolution$evaluated,giniParcelles,croissanceDemographique,troupeau,giniTroupeau,malusFertilite,strategiePaturage,objective$deltaPopulation,objective$deltaFertilite,evolution$samples,deltaFertilite,deltaPopulation
110,110,0.1,0.017384362253525444,139.97358274663884,0.31497882255443843,0.0,par cuisine,0.1125,0.672636077960176,1,"[0.672636077960176]","[0.1125]"
110,110,0.29446336249883737,0.012740431573981633,243.08023002410508,0.40664413890433637,0.772506181942052,collectif,-0.55,-0.10480807449076208,1,"[-0.10480807449076208]","[-0.55]"
110,110,0.2622833217809295,0.012912079251802907,221.79792517522162,0.39771332367804724,0.18165737159459708,collectif,-0.1,-0.052436209740947246,1,"[-0.052436209740947246]","[-0.1]"
110,110,0.1268086716741438,0.00844985192595729,78.62365848242096,0.5760023524714625,0.28571843253670814,par cuisine,-0.05,0.6557157135066661,2,"[0.6409938050685807,0.6704376219447515]","[-0.075,-0.025]"
110,110,0.2582787053983754,0.014101175555699244,239.4089028493518,0.5850941805144946,0.922117932194545,par cuisine,-0.56875,0.5677423398904525,1,"[0.5677423398904525]","[-0.56875]"
110,110,0.14955753561049648,0.018871766539265075,103.18974040788333,0.3737973023278579,0.08731238763436844,par cuisine,0.0625,0.6442019181639805,1,"[0.6442019181639805]","[0.0625]"
110,110,0.15143705647437425,0.019166202988460605,100.19232147514136,0.3758781785070209,0.11974113292564922,par cuisine,0.1625,0.720075494549021,1,"[0.720075494549021]","[0.1625]"
110,110,0.3393378378491869,0.00967979372652092,204.56505173493454,0.3536431475399111,0.6675354926700547,collectif,-0.4375,-0.07477814205119529,1,"[-0.07477814205119529]","[-0.4375]"
110,110,0.3626912027196999,0.009920602104350107,220.65493846145458,0.21339515419637067,0.21126684979826624,collectif,-0.15,-0.06373181629463501,1,"[-0.06373181629463501]","[-0.15]"
110,110,0.36372633069508553,0.008847440125962756,224.8281830678558,0.20789131812270725,0.22871813158623522,par cuisine,-0.15,0.5888525420111086,1,"[0.5888525420111086]","[-0.15]"
110,110,0.49548187450191095,0.011631145223220197,216.7504538864489,0.5288536793801784,0.5476861016568939,collectif,-0.425,0.09526972444409688,1,"[0.09526972444409688]","[-0.425]"
110,110,0.2947160213555779,0.011452769982426636,199.37909383494596,0.35404678653597843,0.7468857026846023,collectif,-0.4875,0.01689272825410866,1,"[0.01689272825410866]","[-0.4875]"
110,110,0.2482508338305294,0.008585784830892196,163.18426095265397,0.46394299611235335,0.29353922191298776,collectif,-0.08125,0.06525957197387411,1,"[0.06525957197387411]","[-0.08125]"
110,110,0.2648595731353953,0.008885658175783994,153.9474935084478,0.31431688828657867,0.29091919488876283,collectif,-0.15,0.10284726079256205,1,"[0.10284726079256205]","[-0.15]"
110,110,0.15268212762250624,0.011400713666984686,170.3452905051987,0.548153952536934,0.21266777158084024,par cuisine,-0.0875,0.562161334392947,1,"[0.562161334392947]","[-0.0875]"
110,110,0.1,0.011353024870797406,172.7186970594318,0.5354733333160586,0.13737233101599722,collectif,0.0,0.10862617088377953,1,"[0.10862617088377953]","[0.0]"
110,110,0.2633137478267139,0.012892803214245005,224.7923989816079,0.4014948908469339,0.1664790778781755,collectif,0.01875,-0.03167352583148446,1,"[-0.03167352583148446]","[0.01875]"
110,110,0.15268210002688695,0.01140071757748749,170.3452905051987,0.548153952536934,0.21266777158084027,collectif,0.0,0.17220933834852004,2,"[0.1428376974873221,0.20158097920971796]","[-0.04375,0.04375]"
110,110,0.1744464951942722,0.011273096808976488,169.28788375851053,0.5395395647131915,0.21045585387345062,collectif,0.04375,0.09423234209472389,1,"[0.09423234209472389]","[0.04375]"
110,110,0.29647405817521283,0.0107194265305167,204.61531825114085,0.35537198160892214,0.6653950841157932,collectif,-0.47187500000000004,-0.04109477100691817,2,"[-0.05059814114621532,-0.03159140086762102]","[-0.48125,-0.4625]"
